subscription_length,vehicle_age,customer_age,region_code,region_density,segment,model,fuel_type,engine_type,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,displacement,cylinder,transmission_type,steering_type,turning_radius,length,width,gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating,claim_status,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rpm,power_to_weight,torque_per_litre,safety_features_count
1.4,2.0,45,C2,27003,C1,M2,Petrol,1.2 L K12N Dualjet,2,1,1,0,1,1,0,1197,4,1,Electric,4.8,3995,1735,1335,1,0,0,1,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,16
6.1,0.6,47,C8,8794,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,1,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
10.0,2.0,52,C8,8794,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
11.2,2.8,53,C8,8794,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
12.2,0.0,45,C10,73430,A,M3,Petrol,1.0 SCe,2,0,0,0,0,1,0,999,3,1,Electric,5.0,3731,1579,1155,0,0,0,0,0,1,1,1,0,1,1,1,2,0,91.0,4250,67.06,5500,0.058060606060606,91.09109109109107,9
2.9,0.8,43,C10,73430,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
11.7,3.2,41,C13,5410,B2,M7,Petrol,1.2 L K Series Engine,6,1,1,0,1,1,0,1197,4,1,Electric,4.85,3990,1745,1410,1,1,1,1,1,1,1,1,1,1,1,1,0,0,113.0,4400,88.5,6000,0.0627659574468085,94.40267335004177,22
8.5,1.8,49,C5,34738,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
9.3,1.4,41,C8,8794,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
11.5,2.8,38,C8,8794,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
10.3,2.2,48,C8,8794,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
11.0,2.6,38,C8,8794,B2,M7,Petrol,1.2 L K Series Engine,6,1,1,0,1,1,0,1197,4,1,Electric,4.85,3990,1745,1410,1,1,1,1,1,1,1,1,1,1,1,1,0,0,113.0,4400,88.5,6000,0.0627659574468085,94.40267335004177,22
3.0,1.0,44,C2,27003,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
0.9,0.4,40,C15,290,C1,M9,Diesel,i-DTEC,2,0,1,0,1,1,0,1498,4,0,Electric,4.9,3995,1695,1051,1,0,0,1,0,1,1,1,1,1,1,1,4,0,200.0,1750,97.89,3600,0.0931398667935299,133.5113484646195,14
6.4,3.2,37,C5,34738,B1,M8,CNG,K10C,2,0,0,0,1,0,0,998,3,0,Power,4.7,3655,1620,1340,0,0,0,0,0,1,1,1,0,0,1,1,2,0,82.1,3400,55.92,5300,0.041731343283582,82.26452905811622,8
10.6,1.2,58,C10,73430,A,M3,Petrol,1.0 SCe,2,0,0,0,0,1,0,999,3,1,Electric,5.0,3731,1579,1155,0,0,0,0,0,1,1,1,0,1,1,1,2,0,91.0,4250,67.06,5500,0.058060606060606,91.09109109109107,9
6.9,2.0,35,C7,6112,B2,M7,Petrol,1.2 L K Series Engine,6,1,1,0,1,1,0,1197,4,1,Electric,4.85,3990,1745,1410,1,1,1,1,1,1,1,1,1,1,1,1,0,0,113.0,4400,88.5,6000,0.0627659574468085,94.40267335004177,22
3.0,0.2,45,C13,5410,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
2.9,2.8,48,C2,27003,A,M3,Petrol,1.0 SCe,2,0,0,0,0,1,0,999,3,1,Electric,5.0,3731,1579,1155,0,0,0,0,0,1,1,1,0,1,1,1,2,0,91.0,4250,67.06,5500,0.058060606060606,91.09109109109107,9
5.6,1.2,40,C8,8794,B2,M7,Petrol,1.2 L K Series Engine,6,1,1,0,1,1,0,1197,4,1,Electric,4.85,3990,1745,1410,1,1,1,1,1,1,1,1,1,1,1,1,0,0,113.0,4400,88.5,6000,0.0627659574468085,94.40267335004177,22
2.3,3.0,36,C12,34791,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
0.9,2.8,38,C5,34738,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
10.8,1.2,61,C9,17804,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
10.2,2.8,48,C14,7788,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
7.2,0.4,53,C2,27003,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
0.9,0.0,36,C15,290,C1,M9,Diesel,i-DTEC,2,0,1,0,1,1,0,1498,4,0,Electric,4.9,3995,1695,1051,1,0,0,1,0,1,1,1,1,1,1,1,4,0,200.0,1750,97.89,3600,0.0931398667935299,133.5113484646195,14
7.6,0.2,47,C12,34791,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
12.3,1.6,35,C8,8794,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
12.2,3.4,47,C8,8794,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
2.4,0.2,44,C9,17804,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
0.9,1.0,37,C2,27003,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
2.9,0.8,44,C14,7788,B1,M8,CNG,K10C,2,0,0,0,1,0,0,998,3,0,Power,4.7,3655,1620,1340,0,0,0,0,0,1,1,1,0,0,1,1,2,0,82.1,3400,55.92,5300,0.041731343283582,82.26452905811622,8
7.7,2.6,36,C14,7788,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
3.1,3.6,47,C8,8794,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
5.4,2.0,50,C1,4990,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
0.7,2.0,36,C2,27003,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
7.7,0.0,40,C16,16206,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
2.9,2.6,47,C8,8794,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
12.4,4.2,54,C8,8794,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
2.7,0.2,50,C9,17804,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
0.9,0.4,41,C15,290,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
3.4,3.6,38,C13,5410,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
8.1,0.2,47,C9,17804,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
0.9,3.0,37,C2,27003,C1,M9,Diesel,i-DTEC,2,0,1,0,1,1,0,1498,4,0,Electric,4.9,3995,1695,1051,1,0,0,1,0,1,1,1,1,1,1,1,4,0,200.0,1750,97.89,3600,0.0931398667935299,133.5113484646195,14
10.2,1.0,54,C19,27742,A,M3,Petrol,1.0 SCe,2,0,0,0,0,1,0,999,3,1,Electric,5.0,3731,1579,1155,0,0,0,0,0,1,1,1,0,1,1,1,2,0,91.0,4250,67.06,5500,0.058060606060606,91.09109109109107,9
4.5,2.0,38,C5,34738,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
8.2,0.2,54,C1,4990,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
2.8,0.4,36,C8,8794,C1,M9,Diesel,i-DTEC,2,0,1,0,1,1,0,1498,4,0,Electric,4.9,3995,1695,1051,1,0,0,1,0,1,1,1,1,1,1,1,4,0,200.0,1750,97.89,3600,0.0931398667935299,133.5113484646195,14
0.1,0.0,46,C3,4076,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,1,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
2.4,1.8,43,C7,6112,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
5.8,0.2,37,C9,17804,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
12.1,0.8,51,C14,7788,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
11.8,1.4,37,C12,34791,C2,M4,Diesel,1.5 L U2 CRDi,6,1,1,1,1,1,1,1493,4,1,Power,5.2,4300,1790,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0,250.0,2750,113.45,4000,0.0659593023255813,167.44809109176154,22
3.6,0.2,40,C8,8794,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
8.8,1.4,40,C5,34738,B2,M7,Petrol,1.2 L K Series Engine,6,1,1,0,1,1,0,1197,4,1,Electric,4.85,3990,1745,1410,1,1,1,1,1,1,1,1,1,1,1,1,0,1,113.0,4400,88.5,6000,0.0627659574468085,94.40267335004177,22
11.6,2.0,60,C8,8794,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
4.4,0.2,52,C10,73430,A,M1,CNG,F8D Petrol Engine,2,0,0,0,1,0,0,796,3,0,Power,4.6,3445,1515,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,3500,40.36,6000,0.0340590717299578,75.37688442211055,5
10.5,3.2,40,C8,8794,A,M3,Petrol,1.0 SCe,2,0,0,0,0,1,0,999,3,1,Electric,5.0,3731,1579,1155,0,0,0,0,0,1,1,1,0,1,1,1,2,0,91.0,4250,67.06,5500,0.058060606060606,91.09109109109107,9
12.3,0.4,52,C8,8794,B2,M6,Petrol,K Series Dual jet,2,0,1,0,1,0,0,1197,4,0,Electric,4.8,3845,1735,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0,113.0,4400,88.5,6000,0.0662921348314606,94.40267335004177,13
