repeat	fold	rung	n_actual	n_virginica	n_versicolor	dev_n	jaccard_dev_vs_declared	rows_sha256	row_ids
1	3	30	30	15	15	19	0.0263	88cb5f0bae09b187c027ae69b18015c8f94b7a0f2abdac3b76d57f47c7728c95	3;10;14;16;19;24;25;26;29;31;34;41;42;46;47;53;54;55;57;58;59;68;70;78;80;85;90;93;95;99
1	3	20	20	10	10	19	0.0263	345aa637658aeed7b8e3f6752c57e7ee5b595a0c3a6f20244de53a695a3e9233	3;10;14;16;24;31;41;42;46;47;53;54;57;58;70;80;90;93;95;99
1	3	12	12	6	6	19	0.0263	e12be3f3ebe73dd54bdc3662478015715b867869d54530b6f4ef468723cbd9ce	3;10;14;24;41;42;53;57;70;90;95;99
1	3	8	8	4	4	19	0.0263	eafbe0b6d257f97024452c389b6d87be0ecfd0d35612a21323b104447801947c	14;24;41;42;57;90;95;99
2	0	60	59	28	31	20	0.25	85835e33a71bf445579f651af2aedc7d8368f9e5e53ee32a6eddc160bf8a9b0d	0;2;4;6;8;9;10;13;14;15;16;20;21;22;23;24;25;29;31;32;34;35;37;38;41;42;44;45;47;48;49;52;53;54;55;57;58;59;61;62;64;66;67;68;73;74;76;78;80;81;84;85;87;88;90;93;95;96;98
2	0	45	45	23	22	20	0.25	27fce63e6ddeaf85c8fa161d23959029142faccf203b4b7245a56519df6fc90f	0;2;6;8;9;10;15;16;20;22;23;24;25;29;31;34;37;38;41;44;47;48;52;53;54;57;58;59;61;62;64;67;68;73;74;76;80;84;85;87;90;93;95;96;98
2	0	30	30	15	15	20	0.25	ac475706d17726d442c7e8d905a48c62f4b8e3411ba4f299aa143caa96391757	0;2;6;8;15;22;23;24;25;37;38;41;44;47;48;53;57;58;59;61;62;67;68;73;74;76;85;87;95;98
2	0	20	20	10	10	20	0.25	3283d3ab98b97afd7991ea5cdb070969f581e7f3b7cda6c3c248a830a5e6a6b2	0;2;8;15;22;23;25;41;44;48;53;58;62;67;68;74;76;87;95;98
2	0	12	12	6	6	20	0.25	c96b707ca084a1d9762c3ef2cc446e0756674099ae7d71279c4d38fe5dd43d4e	0;2;15;22;41;48;53;58;62;74;76;98
2	0	8	8	4	4	20	0.25	64307dca4cc930c9778a84b12b40c834fda76ccdb462f118c5333ff5ece65a76	2;15;41;48;53;62;74;76
2	1	60	58	28	30	20	0.1765	6c78959b26fabc581c6ff51f06d670dbe7e23e9e53f3c70c10779bcde691974b	0;1;2;3;5;7;8;9;10;13;14;17;19;20;21;22;23;26;27;28;29;31;32;34;35;40;42;46;47;48;53;56;57;58;59;61;64;65;66;67;68;69;70;75;76;78;79;80;81;84;85;88;89;90;93;95;97;99
2	1	45	45	22	23	20	0.1765	5a5d94669a7f5651695bf2f779c3018f5e2dcf0bf607819999095dbc080ea518	0;2;3;5;7;8;9;10;13;14;21;22;23;26;28;29;32;34;35;40;46;47;48;53;57;58;59;61;65;66;67;68;69;70;75;76;78;80;81;85;88;89;93;95;99
2	1	30	30	15	15	20	0.1765	af347a75d97bcaec69eee859046fa0b71f34b6f7ed82f22ae15d2cf3180b8f91	0;5;7;8;10;14;21;23;26;28;29;35;46;47;48;53;59;66;67;69;70;75;76;78;80;81;85;88;95;99
2	1	20	20	10	10	20	0.1765	b57463a541317f1c99a56dd29a1b4a84bbbcd42d47328ef46450226070d51caa	5;7;8;10;14;26;28;35;47;48;53;59;67;69;70;78;81;85;88;95
2	1	12	12	6	6	20	0.1765	d27384c80451704cfad0967469a35f9a7019ae2c6c3e04a56403b029c7dafe0b	7;8;14;26;35;47;53;67;69;78;81;85
2	1	8	8	4	4	20	0.1765	6144c0baba59b3b04c5642290a1f6d6f59b6d35350143f792878a2ef6cbc333f	7;8;26;47;53;67;69;81
2	2	60	59	27	32	20	0.0811	2437e0d8814be63270d0224644b342e1f8efecbc5e94a5b0eddca944300b7237	0;1;3;4;5;6;7;8;9;13;14;15;16;17;19;22;24;25;26;27;28;29;34;37;38;40;41;44;45;46;48;49;52;53;54;55;56;59;62;64;65;68;69;70;73;74;75;76;78;79;87;88;89;90;93;96;97;98;99
2	2	45	45	23	22	20	0.0811	deba94d4aeb9af6dd43eddbd106c9881ca3bdfb9f6c6d0dbc7db8c22f78942de	1;3;4;5;6;7;8;9;13;14;15;16;17;22;25;26;27;28;29;38;45;49;52;53;54;55;56;59;62;64;68;70;73;75;76;78;79;87;88;89;90;93;96;97;98
2	2	30	30	15	15	20	0.0811	99b925dcf3addf6771197138a505d210327bc936c6f4a094a061bd7fb22ac40a	1;3;4;6;7;14;15;16;22;25;26;27;28;29;49;52;55;56;62;68;70;73;75;78;87;89;90;96;97;98
2	2	20	20	10	10	20	0.0811	a1d2c978e91476eff05a85c4f7d4d8c10bcf56b9b721b25c23c7a2ed356d975b	1;3;4;6;14;22;25;27;28;29;56;62;68;73;75;87;89;96;97;98
2	2	12	12	6	6	20	0.0811	987082b07a68791cadde8348923cc11a32279c64eb0b107feab94036af1826ec	1;4;6;25;28;29;56;62;68;87;89;96
2	2	8	8	4	4	20	0.0811	baf75c4e3c0cbb39616eee768c002df3beaf1f0d9ac59e8a46f99c53803d6c4f	1;25;28;29;56;62;89;96
2	3	60	58	28	30	19	0.0833	94a3fea473de2aee4723236fe32e53236c40531e22af782889a2ddfbc7aab8af	1;2;3;4;5;7;10;15;17;19;20;21;24;25;26;27;28;31;32;35;37;38;40;41;42;44;45;46;47;49;52;54;55;56;57;58;61;62;65;66;67;69;70;73;74;75;79;80;81;84;85;87;89;95;96;97;98;99
2	3	45	45	22	23	19	0.0833	8a365123e857fb2d4aff359ec2e7676a534851b4241ff8ff318b3219c1ce4002	1;2;3;4;7;10;15;17;19;20;21;25;27;28;31;32;38;40;42;44;45;46;49;52;54;55;56;57;58;61;62;66;67;69;73;74;75;79;81;85;87;89;96;97;99
2	3	30	30	15	15	19	0.0833	dede826ead7b04577e7fc178a19635de3ea29bbcc73de1a22499ede246945c52	2;3;7;15;19;25;28;31;32;38;40;42;44;46;49;55;56;57;58;61;66;67;69;73;79;85;87;89;96;99
2	3	20	20	10	10	19	0.0833	a20b73c38d321d578de0239f5b134110a7ef6348d31d4b12be1aea7bcb36b0fa	2;3;7;25;31;32;38;42;44;49;57;61;66;67;69;73;85;89;96;99
2	3	12	12	6	6	19	0.0833	ff6866106396769480103157e94fe81ed432ca3083f43778cb18a35dfe73f450	3;25;32;38;42;44;57;66;69;73;89;99
2	3	8	8	4	4	19	0.0833	cf5c1a1fc86e6ba359f6cd2bd8df5318adbaffa3be38f95a988829cb112ad3aa	32;38;42;44;57;73;89;99
3	0	60	57	27	30	20	0.1765	967cec3529e344d4fd9b6271060ea46603acaa1d6fa85eb109ca48d096b9696e	0;1;4;5;6;7;8;9;10;13;15;16;17;19;20;26;28;29;31;35;37;38;41;42;44;45;46;47;48;49;54;56;57;58;59;64;65;66;67;68;69;70;74;75;76;78;80;81;84;85;87;88;89;95;96;98;99
3	0	45	45	22	23	20	0.1765	152198404dcf50e36a75e1cc3dc24318ae36d56f5bd83837bac373fea975f8be	0;1;5;6;8;9;10;13;15;16;17;20;26;28;31;35;37;38;41;42;47;48;49;54;57;58;59;65;66;67;69;70;74;78;80;81;84;85;87;88;89;95;96;98;99
3	0	30	30	15	15	20	0.1765	c616fe8549a90a56cd48ae9578482c79a9d1b4377e54fb04898ceb8da46f56ba	0;9;10;13;15;16;17;20;26;31;37;42;47;48;49;57;58;59;65;66;69;70;78;80;81;84;85;89;95;99
3	0	20	20	10	10	20	0.1765	d51142835d1c9eb9d2389e4fde7856518fceb1c21083cf84a6d11f93e51bf7a1	0;9;10;16;20;26;31;42;47;48;57;59;66;69;70;81;84;85;89;95
3	0	12	12	6	6	20	0.1765	b033d2aabc4d593cd807b9ead224cc03034588a546248dbd885e3759177446c9	0;10;20;31;42;48;57;59;69;84;89;95
3	0	8	8	4	4	20	0.1765	545ab3f5f56037842b36bbe3109bacd92500df1002077b45373261d866d4ef0b	0;20;31;42;69;84;89;95
3	1	60	59	28	31	20	0.1429	de1e6e5ca20fa6ae7dd38f1e8006f66cd2186a90e3e44afb8d1b369b22e189c7	2;3;4;7;8;9;10;13;14;15;16;17;19;21;23;24;25;26;27;28;29;32;34;35;38;40;42;45;46;48;49;52;53;55;56;58;59;61;62;64;67;68;70;73;74;75;76;79;80;81;84;87;88;89;90;93;96;97;98
3	1	45	45	23	22	20	0.1429	c334026a9fa29f88d3e8a9a8ab337ffd30259df0f7c611b4b7d79b1ce828b2b6	3;4;7;8;9;10;13;14;16;19;21;23;24;26;28;29;34;35;38;40;45;46;52;55;59;61;62;67;68;70;73;75;76;79;80;81;84;87;88;89;90;93;96;97;98
3	1	30	30	15	15	20	0.1429	84cedc2655631112b3e5264b0dfbf1189a79af7f321f25261ec90b8803bcb28e	4;8;9;13;14;16;19;21;23;24;28;29;35;40;45;52;55;59;61;67;68;73;75;76;81;84;88;89;93;96
3	1	20	20	10	10	20	0.1429	147a833e9da22d8c16a355d013e29f1fda91830830d398a396e905e7d5072ba0	9;13;14;21;23;28;29;35;40;45;55;61;67;68;75;81;84;89;93;96
3	1	12	12	6	6	20	0.1429	dde253d92e3265423cc39841dad40aab753b0b5479cdf55530dfb864d98218ae	14;21;23;28;40;45;55;75;81;89;93;96
3	1	8	8	4	4	20	0.1429	ead2d82f063993ccdd4129cdb9784d9086b9d8c7fe4469ff8f617c1fa375b1f0	21;23;40;45;75;81;93;96
3	2	60	58	28	30	20	0.0811	157f01b0dcd2749a579e86804b2ee0401f108e83431eb2c3986aa716cdae1c44	0;1;2;3;5;6;14;15;16;17;20;21;22;23;24;25;26;27;29;31;32;34;35;37;40;41;44;45;46;47;52;53;54;55;57;61;62;64;65;66;68;69;70;73;74;76;78;79;80;85;87;89;90;93;95;96;97;99
3	2	45	45	22	23	20	0.0811	0da38525df548ceb5266ce99334aa0b17ba4e859ab4209fdc87bbc841f0a3ee3	0;1;2;5;6;14;15;16;20;21;22;23;24;26;27;31;32;34;41;44;45;46;47;54;55;57;64;65;68;69;70;73;74;76;78;79;80;87;89;90;93;95;96;97;99
3	2	30	30	15	15	20	0.0811	c0ea1b1cad92f9f4141658cbc6ed94741e867571318511d2cdac20bb4ad2e3d7	0;2;5;6;15;16;22;23;24;31;34;41;44;45;46;55;57;64;65;69;70;73;74;78;79;87;89;96;97;99
3	2	20	20	10	10	20	0.0811	4e46b227795e2a42eb6ab07d90a61f1877790f770baa0adbb397f655d546022d	0;5;15;22;23;31;41;44;45;46;64;65;69;70;73;74;87;89;97;99
3	2	12	12	6	6	20	0.0811	dbd745a87a7accbecd606ecaec9d175b5dd8374f061bd880c4f3ecafdf3fdd7f	0;5;31;41;45;46;64;65;69;73;89;99
3	2	8	8	4	4	20	0.0811	f8e0561a3dd11fa22736df83a9b28c37e6896f453c177d15ecafc53ccd5d1ed6	0;5;45;46;64;65;69;99
3	3	60	60	28	32	19	0.1818	24fee8ad04fc62f9fe6feb23d7bbfded2dedf5c0787e147672d2a1ac25fac6d1	0;1;2;3;4;5;6;7;8;9;10;13;14;19;20;21;22;23;25;27;28;31;32;34;37;40;41;42;44;47;48;49;52;53;54;55;56;57;58;59;61;62;65;66;67;69;73;75;78;79;81;84;85;88;90;93;95;97;98;99
3	3	45	45	23	22	19	0.1818	566ba32d559d4b4378e5cc54ccce8fe811360ddfc95074e2d59406826e6abb5b	3;4;6;7;8;9;13;19;20;22;23;28;31;32;37;40;41;42;44;47;48;49;52;53;54;55;56;58;59;61;65;66;67;69;73;75;78;79;81;84;85;88;90;93;99
3	3	30	30	15	15	19	0.1818	d47ad72bba9569a176331e2ead9cfcc59369e1218e5bbb8e3acfd65f58a6e9f0	3;4;7;8;13;20;23;28;31;32;37;44;47;48;49;52;53;54;55;58;59;61;65;66;67;69;75;78;90;93
3	3	20	20	10	10	19	0.1818	21334773f4d83a38dc3c5d1cfad2682e61b8bb073b79360a1d9974e4b6119875	3;7;8;13;23;28;37;44;47;48;52;53;58;59;61;65;67;69;78;93
3	3	12	12	6	6	19	0.1818	12dae0a5edf279eff372986062deb5442abb7d5ba11f4e3f429bd3184f1e9e12	3;13;23;37;44;47;52;58;59;61;65;69
3	3	8	8	4	4	19	0.1818	0564c5ed20a13db1cedb2cb7a524d0297012ad71c7b2eb9540a14e2a72d81263	23;37;44;47;58;61;65;69
4	0	60	59	28	31	20	0.25	b7ffc38f6fca682e214d93ad3eb44d4d168f07a94a26bb248f04ec26f087d96f	0;1;3;5;7;8;9;10;13;15;16;17;21;22;23;24;25;26;28;29;31;34;37;38;40;41;42;46;47;48;49;52;53;56;58;59;61;65;67;68;69;73;74;75;76;78;79;80;81;87;88;89;90;93;95;96;97;98;99
4	0	45	45	23	22	20	0.25	a3106e7d2d1a7a68ddf1f35e52f4a28fc224a5987ac53ef4eb78ad2fecf6fb90	1;5;7;9;10;13;16;17;21;22;24;25;29;31;34;37;38;40;41;46;47;49;52;59;61;65;67;68;69;73;74;75;76;78;79;80;87;88;89;90;93;95;96;97;99
4	0	30	30	15	15	20	0.25	d1eb610fa1f14576453c8e0f0d55856a71f437dfafb3c04c6379e57049a26306	5;10;13;17;21;22;25;29;37;38;40;41;46;47;49;52;59;65;67;68;73;74;76;79;80;88;90;93;96;97
4	0	20	20	10	10	20	0.25	0cb1bd9dc383805a4d0911e118714bc4cea31d03f1f0ef5f3ea016e5eb924d09	5;10;13;17;21;22;25;37;41;49;52;59;65;67;73;74;79;80;88;96
4	0	12	12	6	6	20	0.25	51b6004f06210917a9af225719b3668457ddeac3b9e13e0a717aa67e7321c58e	5;10;13;21;22;49;52;59;65;74;80;96
4	0	8	8	4	4	20	0.25	fa63e06fef319cf76d134b0bd7d9a544f8020bd3add40fa55582acf42914a598	10;13;21;49;52;65;74;96
4	1	60	58	28	30	20	0.0811	bca5c07094aab447dc9ad2c4e76c3f56b2ea2b7effb92ef0ea84473acbb4f7f0	0;1;2;3;4;5;6;7;10;13;14;15;16;17;19;20;22;25;27;31;32;35;37;40;42;44;45;46;48;49;52;54;55;56;57;58;61;62;64;66;67;68;69;70;73;74;75;76;80;84;85;87;88;89;90;96;97;99
4	1	45	45	22	23	20	0.0811	c358fd0f808d198976113860ab0a1a01488e162360585fae4bbd91ffbcf05671	3;4;5;7;10;13;14;15;16;17;19;20;22;25;27;35;37;40;42;45;46;48;49;54;55;56;58;61;62;64;66;67;70;73;74;75;76;80;84;87;88;90;96;97;99
4	1	30	30	15	15	20	0.0811	49d6a50753e69584d5e2c6c35e8c71375c79cededd215ec5fcf03a1e1176bab6	3;7;14;15;19;20;25;27;35;37;40;42;45;46;48;54;55;56;62;64;66;67;70;73;74;80;90;96;97;99
4	1	20	20	10	10	20	0.0811	397a2e8e0868d8aee5529f0241caae504771ca3ab5ba33fb840923fea1a0a4e4	3;14;19;20;27;37;40;45;46;48;55;56;64;67;73;74;80;90;97;99
4	1	12	12	6	6	20	0.0811	08b3717100c33d7c69287a98ac64fe6b4130ccdeba83a96f3cfe929cd1d3c89d	3;20;27;37;45;46;55;56;73;80;90;97
4	1	8	8	4	4	20	0.0811	4b89f383c2818a4f3f2e2dddb93a650d3c67b14a09e882507ec68e8c65d3036d	3;20;27;46;55;56;73;90
4	2	60	59	27	32	20	0.1111	a5a59b73237407e72562a39c80cfe52dc49b184d16ea5b5ed02e5ee321395220	1;2;3;4;6;8;9;10;13;14;16;19;20;21;22;23;24;25;26;27;29;32;34;35;37;38;41;44;45;46;47;48;53;54;55;57;58;59;61;62;64;65;66;68;70;73;75;78;79;80;81;84;85;88;89;93;95;98;99
4	2	45	45	23	22	20	0.1111	4c552896dfe01cf06e1f9991a414db14afb9b66dee3589fca2bcdbd62a390c91	3;4;6;8;9;13;16;19;20;21;24;26;29;32;34;38;41;44;45;46;47;48;53;55;57;58;59;61;62;64;65;66;70;73;75;78;80;81;84;85;89;93;95;98;99
4	2	30	30	15	15	20	0.1111	90f812df34e4c829f8d40d51a8fcccebc0b8187ec0e27e86bda03f2f906695f9	6;9;13;16;20;21;24;29;32;34;38;41;45;47;48;53;55;58;61;62;64;65;66;73;80;85;89;93;95;98
4	2	20	20	10	10	20	0.1111	b10efa3c2b70c78174f6aa6357ce49c12d3d57c89509283950375479a02b768e	6;9;13;16;20;21;34;38;41;48;53;55;61;62;64;66;73;85;93;98
4	2	12	12	6	6	20	0.1111	7460fe043a700d573a3fa7059f094408029a5b8ca48f4979ceab2d54213d6ae6	6;13;16;38;41;48;53;62;64;66;85;93
4	2	8	8	4	4	20	0.1111	81acfc575c8aeb9cb7edd920168a60de6610ce244e9c8c18c116b989c250fef4	6;16;38;41;53;64;66;93
4	3	60	58	28	30	19	0.1471	abcf8357fede62e43b09081acf8f1cad297b806badb05ff41b1b17a64b83e784	0;2;4;5;6;7;8;9;14;15;17;19;20;21;23;24;26;27;28;29;31;32;34;35;38;40;41;44;45;47;52;53;54;55;56;57;59;62;64;65;66;67;69;70;74;76;78;79;81;84;85;87;90;93;95;96;97;98
4	3	45	45	22	23	19	0.1471	97ead123cd5d01334c431dbeb43f8338c920258e6758cbb80129508ce9ce6ed8	0;2;5;6;7;9;14;15;20;21;23;24;26;28;29;31;32;34;35;38;41;44;45;52;53;54;55;56;62;64;65;66;67;69;74;76;78;79;81;84;87;93;95;97;98
4	3	30	30	15	15	19	0.1471	c72b76f3df1f637408a88d8ece4830056cc5a2f22362595f34a05f0e5eababe4	0;6;14;23;26;28;29;31;32;34;35;38;41;44;45;52;55;62;65;67;69;76;78;79;81;84;87;93;97;98
4	3	20	20	10	10	19	0.1471	f90d0608285306bb018f535eb21041ddc765c1ce120d36ea3fc1cbec64b107d6	0;6;14;26;29;31;32;34;38;45;52;62;65;67;69;76;79;81;87;98
4	3	12	12	6	6	19	0.1471	e45f4b2b9f4e185470633d42f64b780d0d86e1a18131f31abd792cecba4d1cce	0;6;14;29;32;45;62;67;69;76;81;98
4	3	8	8	4	4	19	0.1471	733884f0abd452bb2b7c81cc9bb1f1858dc6a8add93b03c732e1b059300d62dc	0;6;14;29;62;67;76;98
5	0	60	57	27	30	20	0.0526	54d7ca7a5dcf4b1b23bf439ca2d03ee436f83d6fa333a7a9a4541b1352ccd0c9	0;1;2;4;7;8;9;10;13;14;15;17;19;20;22;24;25;27;28;29;31;32;35;37;38;42;44;47;48;49;53;55;56;57;58;59;61;62;64;66;67;68;69;70;73;75;79;81;84;85;87;89;90;96;97;98;99
5	0	45	45	22	23	20	0.0526	20701d8befef6d4dd9dceda3a8d44811026b6f60431adb0a9d0b91565d21ed91	1;2;7;10;13;14;15;17;19;20;24;25;27;28;29;31;32;37;38;42;44;47;48;53;55;56;57;58;59;61;62;64;66;67;68;69;70;73;79;85;87;90;96;98;99
5	0	30	30	15	15	20	0.0526	0698ce112f10132b57c3b4ffeb5debb3605937d23a54854e0cc00111735fd73c	7;10;14;15;17;20;24;27;28;37;38;42;44;47;48;53;55;56;58;59;61;66;67;73;79;85;87;96;98;99
5	0	20	20	10	10	20	0.0526	38c5a52ce55873ed6cd37979f0cef9e4713287caaadec77344bdd8f910bbf92c	7;14;20;24;27;37;38;44;47;48;53;56;58;59;61;73;79;96;98;99
5	0	12	12	6	6	20	0.0526	e074bcd396abc793bee88d146398b0d817846af96d33144bc04b24c236000753	14;20;24;27;37;38;53;59;61;73;96;99
5	0	8	8	4	4	20	0.0526	ec0f21e014c1fc1c55c516768da9cbf3acaaaac78b93d1eb97746a9407f9f946	14;20;24;37;59;61;73;99
5	1	60	59	28	31	20	0.1765	27c88304f5c9a95897b9521c55d41b423ed6bbfc1f510adc115bdbd072bc5395	0;2;3;5;6;9;10;13;14;15;16;17;21;23;24;25;26;27;29;31;32;34;35;38;40;41;42;44;45;46;48;52;54;55;56;57;58;59;61;62;64;65;68;73;74;76;78;79;80;84;85;87;88;89;90;93;95;97;98
5	1	45	45	23	22	20	0.1765	a0ae11c9e869a79bb578483de9a18864e3b0a3a1923e8a29205cde55801eba65	0;2;6;9;10;13;14;15;16;17;21;25;26;27;32;34;38;40;41;44;45;46;52;54;55;56;57;58;59;61;62;68;74;76;78;79;80;84;85;87;88;89;90;93;95
5	1	30	30	15	15	20	0.1765	e67dfe1e0ac9ded02de2954a5fef9440792b19b4313102e37f8e04268307b0aa	0;2;6;9;10;13;14;15;17;25;32;34;40;41;46;52;54;55;56;57;58;59;61;62;68;79;80;84;85;93
5	1	20	20	10	10	20	0.1765	016b2e4d983b04ef78f01ae3bf235e307ff3450131ef8c8f48bb1974cbb068bb	0;6;9;10;13;14;25;32;34;46;54;56;57;58;61;62;68;79;80;85
5	1	12	12	6	6	20	0.1765	87fcbb48e3ba3a2f93af023ce36de9360849972237a78d45263decc6e112bb84	0;13;14;32;34;46;54;56;61;62;80;85
5	1	8	8	4	4	20	0.1765	dbda585d94dfb747e88bd5e01397a13e0eeffbe48c5ea083a2679f71122e8f3e	0;32;34;46;56;61;62;85
5	2	60	58	28	30	20	0.25	4bc3e7123150eec10cc30e2cab1dc9cde103cd1e67e47b7f089ecd48367c7f0d	1;3;4;5;6;7;8;13;15;16;19;20;21;22;23;26;28;29;32;34;35;37;40;41;42;45;46;47;48;49;52;53;54;55;56;58;59;62;64;65;66;67;68;69;70;74;75;76;78;80;81;85;88;93;95;96;98;99
5	2	45	45	22	23	20	0.25	12a27b65f9de5d753f975337ca42379a2cd5d9d089fcf588d061cccc78e26d9e	1;3;4;5;7;8;13;16;19;20;23;26;28;29;34;35;40;42;45;46;47;48;49;52;54;55;56;59;62;64;65;66;68;69;74;75;78;80;85;88;93;95;96;98;99
5	2	30	30	15	15	20	0.25	9f1fc73faaa3a4beaba3a156fa5362a6e2fa67b8ba9b89032f0a97889733fd55	1;3;7;8;13;16;23;26;28;29;34;40;42;46;47;52;54;55;56;62;65;66;68;74;75;80;88;93;95;96
5	2	20	20	10	10	20	0.25	9eadaad4e19578aaa6bcc0c63fa248510d31a0fed1db4cb3dda9662c78c048fd	1;7;8;13;16;23;28;40;42;46;54;55;62;65;74;75;80;88;93;96
5	2	12	12	6	6	20	0.25	182fba88858ce48277a690d0ce9bf417fca5e630fc0d05b5a6cac1e26bdf6a95	1;8;16;40;42;46;54;74;75;80;88;96
5	2	8	8	4	4	20	0.25	0bb88d8bbcad3472a635ceb500c0ecc027091aed78300c9b927addde6c51eaf8	8;40;42;46;54;74;80;96
5	3	60	60	28	32	19	0.1143	557b7ae9bd31f1a234fec085d1e0f23e9d2ca1d05a00b196d66b0a3f38e175e3	0;1;2;3;4;5;6;7;8;9;10;14;16;17;19;20;21;22;24;25;26;27;28;37;38;40;41;44;45;46;47;49;52;53;54;57;61;65;66;67;69;70;73;74;75;76;78;79;80;81;84;87;88;89;90;93;95;96;97;99
